Hyundai R380,"2006 г.,дизель,руль слева",$ 60 000,https://im.mashina.kg/tachka/images//1/c/2/1c28cf4cdef23741fb88fa70029185f6_240x180.jpg
Caterpillar Гусеничные,"1997 г.,дизель,руль слева",$ 18 000,https://im.mashina.kg/tachka/images//0/f/c/0fcc7153cdb6fd77f560b7beeb810077_240x180.jpg
Samsung MX,"1998 г.,дизель,руль слева",$ 32 000,https://im.mashina.kg/tachka/images//a/d/9/ad9d4725fecd506102ee091a254b4e2c_240x180.jpg
Caterpillar Гусеничные,"2002 г.,дизель,руль слева",$ 55 000,https://im.mashina.kg/tachka/images//f/6/0/f600b9204edd2144f0d3d15dec543db1_240x180.jpg
Hyundai Колесные,"2012 г.,дизель,руль слева",$ 25 000,https://im.mashina.kg/tachka/images//9/f/0/9f057e4731ab1c7835db1e0e07d7e91a_240x180.jpg
Caterpillar Колёсные,"2003 г.,дизель,руль слева",$ 37 099,https://im.mashina.kg/tachka/images//4/c/4/4c49a93621b6a0cb54eecbed498be13a_240x180.jpg
Samsung MX,"2002 г.,дизель,руль справа",$ 23 000,https://im.mashina.kg/tachka/images//b/b/4/bb454f59147c0d43ff6fbde15e65d513_240x180.jpg
Volvo BL,"2002 г.,дизель,руль слева",$ 23 000,
Hyundai Колесные,"2010 г.,дизель,руль слева, 16 500 км",$ 66 000,https://im.mashina.kg/tachka/images//7/9/e/79e1413efb8db9e636a7d238cf1a6ce7_240x180.jpg
Hyundai Колесные,"2012 г.,дизель,руль слева, 20 000 км",$ 24 500,https://im.mashina.kg/tachka/images//b/d/f/bdf3bc7b9419edd4badfe505172abc3d_240x180.jpg
Hyundai Колесные,"2014 г.,дизель,руль слева, 5 000 км",$ 41 000,https://im.mashina.kg/tachka/images//3/d/6/3d64f25d9508c8e6151977859e1f6909_240x180.jpg
Hyundai Колесные,"2004 г.,дизель,руль слева",$ 40 000,https://im.mashina.kg/tachka/images//f/f/b/ffb7a22638137e389ea47ee83d0e26a5_240x180.jpg
Hyundai Колесные,"2011 г.,дизель,руль слева, 18 000 км",$ 60 000,https://im.mashina.kg/tachka/images//c/1/f/c1f8fd30273e50f450d5550031e14928_240x180.jpg
Hyundai H940S,"2008 г.,дизель,руль слева, 123 456 км",$ 32 000,https://im.mashina.kg/tachka/images//4/4/1/441fb483914a79ddab4e3401e24e8eae_240x180.jpg
Hyundai Гусеничные,"2010 г.,дизель,руль справа",$ 90 000,
Volvo EW,"2005 г.,дизель,руль слева",$ 35 000,https://im.mashina.kg/tachka/images//8/0/9/8091a301c8f0df80a0f175fa47765935_240x180.jpg
Volvo EW,"2008 г.,дизель,руль слева",$ 45 000,https://im.mashina.kg/tachka/images//c/1/6/c16f06fe58241975957d25adc13e4d08_240x180.jpg
Volvo EW,"2004 г.,дизель,руль слева",$ 46 992,https://im.mashina.kg/tachka/images//a/d/c/adcb21979e00f38971807597b51b5ec4_240x180.jpg
Hyundai Колесные,"2012 г.,дизель,руль слева, 10 000 км",$ 2 200,https://im.mashina.kg/tachka/images//8/2/2/8229b65f8588a908bb123dbfc67f9f9e_240x180.jpg
Hyundai Колесные,"2017 г.,дизель,руль слева, 10 000 км",$ 1 200,https://im.mashina.kg/tachka/images//f/b/2/fb2d6924cd160e70a2b5bd771b9a6173_240x180.jpg
Hyundai Колесные,"2014 г.,дизель,руль слева, 4 500 км",$ 45 000,https://im.mashina.kg/tachka/images//1/9/a/19a46431702214cf9a3679b0d9132bf1_240x180.jpg
Hyundai Колесные,"2010 г.,дизель,руль слева, 11 000 км",$ 41 000,https://im.mashina.kg/tachka/images//c/a/9/ca9fcc80e2f92c6a0ee21213bcf29edb_240x180.jpg
Caterpillar Гусеничные,"2005 г.,дизель,руль слева",$ 16 968,https://im.mashina.kg/tachka/images//a/5/8/a58069af9f762fd14fd779a30af3ff49_240x180.jpg
XCMG WZ,"2012 г.,дизель,руль слева",$ 26 000,https://im.mashina.kg/tachka/images//a/c/9/ac9647221a4c5cf58a8f0dadfdfbd0eb_240x180.jpg
Hyundai Колесные,"2022 г.,дизель,руль справа",$ 65 000,https://im.mashina.kg/tachka/images//2/3/6/236a919f55fb73f66aabd0c2994fa880_240x180.jpg
Rhinoceros-Xiniu XNW,"2015 г.,дизель,руль слева",$ 26 000,https://im.mashina.kg/tachka/images//5/c/4/5c47e2612e1df398aa5036b3afaa3a77_240x180.jpg
XCMG XT,"2013 г.,дизель,руль слева",$ 26 000,https://im.mashina.kg/tachka/images//5/6/3/5630e97959ca6ce349a23208fe29515d_240x180.jpg
Hitachi Гусеничные,"2014 г.,дизель,руль слева",$ 55 000,https://im.mashina.kg/tachka/images//5/3/2/5329011a6d61ced022e2f865e268790d_240x180.jpg
Volvo EW,"2010 г.,дизель,руль слева",$ 55 000,https://im.mashina.kg/tachka/images//4/7/d/47d6e3eaa843424c4943328199768a3b_240x180.jpg
